Bulan,NOPOL,Kategori Site,Site Name,BU Site,Type Armada,Klasifikasi Kendaraan,Usia (Year),Owner,DPP,Nominal Downtime,DPP Net (setelah downtime)
May-25,A8378ZH,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,7,MR,6635000.0,0,6635000.0
May-25,A8491ZH,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,7,MR,7980000.0,0,7980000.0
May-25,A8482ZH,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,7,MR,7980000.0,0,7980000.0
May-25,A8489ZH,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,7,MR,7980000.0,0,7980000.0
May-25,A8486ZH,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,7,MR,7980000.0,0,7980000.0
May-25,A8493ZH,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,7,MR,7980000.0,0,7980000.0
May-25,A8487ZH,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,7,MR,7980000.0,0,7980000.0
May-25,A8492ZH,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,7,MR,7980000.0,0,7980000.0
May-25,A8184ZV,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,6,MR,8548000.0,0,8548000.0
May-25,A8178ZV,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,6,MR,8548000.0,0,8548000.0
May-25,A8192ZV,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,6,MR,8548000.0,0,8548000.0
May-25,B1496HFA,NDC,JABABEKA AHI,AHI,PASSENGER,PASSENGER,5,MR,3990000.0,0,3990000.0
May-25,B1494HFA,NDC,JABABEKA AHI,AHI,PASSENGER,PASSENGER,5,MR,3990000.0,0,3990000.0
May-25,A8514ZW,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,11,MR,4766000.0,0,4766000.0
May-25,A8963ZY,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,14,MR,4612000.0,0,4612000.0
May-25,A8483ZH,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,7,MR,6635000.0,0,6635000.0
May-25,A8104ZF,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,8,MR,5948000.0,0,5948000.0
May-25,A8605ZF,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,7,MR,6635000.0,0,6635000.0
May-25,A8606ZF,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,7,MR,6635000.0,0,6635000.0
May-25,A8077ZH,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,7,MR,6635000.0,0,6635000.0
May-25,A8499ZH,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,7,MR,6635000.0,0,6635000.0
May-25,A8603ZF,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,7,MR,6635000.0,0,6635000.0
May-25,A8876ZF,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,7,MR,6635000.0,0,6635000.0
May-25,A8480ZH,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,7,MR,6635000.0,0,6635000.0
May-25,A8501ZH,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,7,MR,6635000.0,0,6635000.0
May-25,A8634XZ,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,11,MR,4766000.0,0,4766000.0
May-25,B328HRD,NDC,JABABEKA AHI,AHI,PASSENGER,PASSENGER,3,MR,5885000.0,0,5885000.0
May-25,B5269BLI,NDC,JABABEKA AHI,AHI,MOTOR,MOTOR,2,MR,628000.0,0,628000.0
May-25,A8698XZ,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,11,MR,4766000.0,0,4766000.0
May-25,A8720VB,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,2,MR,8571000.0,0,8571000.0
May-25,A8718VB,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,2,MR,8571000.0,0,8571000.0
May-25,A8909VB,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,2,MR,8571000.0,0,8571000.0
May-25,A8813VB,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,2,MR,8571000.0,0,8571000.0
